"delivery_date","hour_ending","qse_name","settlement_point_source","settlement_point_sink","mw","price","offer_id","multi_hour_block_indicator","crr_id","p_posted_date"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","129521615_2","N","129521615","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","143641249_2","N","143641249","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","143641289_2","N","143641289","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","160016863_2","N","160016863","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","177883140_2","N","177883140","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.1","20.0","177883171_2","N","177883171","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.2","20.0","177883082_2","N","177883082","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","0.2","20.0","177883110_2","N","177883110","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.1","0.0","177883140_1","N","177883140","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.1","0.0","177883171_1","N","177883171","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.4","0.0","129521615_1","N","129521615","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.4","0.0","143641249_1","N","143641249","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.4","0.0","143641289_1","N","143641289","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.4","0.0","160016863_1","N","160016863","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.6","0.0","177883082_1","N","177883082","2024-12-01"
"10/02/2024","1","QCPSE1","SWEETWN2_2_4","LZ_CPS","1.6","0.0","177883110_1","N","177883110","2024-12-01"
"10/02/2024","1","QCPSE1","STP_STP_G2","LZ_CPS","18.3","15.0","119853537_2","N","119853537","2024-12-01"
"10/02/2024","1","QCPSE1","STP_STP_G2","LZ_CPS","348.5","0.0","119853537_1","N","119853537","2024-12-01"
"10/02/2024","1","QCPSE1","STP_STP_G1","LZ_CPS","9.5","15.0","119853536_2","N","119853536","2024-12-01"
"10/02/2024","1","QCPSE1","STP_STP_G1","LZ_CPS","181.0","0.0","119853536_1","N","119853536","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","0.2","20.0","143586232_2","N","143586232","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","0.5","20.0","177830169_2","N","177830169","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","1.1","20.0","151728530_2","N","151728530","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","1.4","20.0","159960090_2","N","159960090","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","2.1","20.0","151728470_2","N","151728470","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","2.9","20.0","136198491_2","N","136198491","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","2.9","20.0","136198497_2","N","136198497","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","3.1","0.0","143586232_1","N","143586232","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","3.5","20.0","151728454_2","N","151728454","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","3.6","20.0","177830189_2","N","177830189","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","4.5","20.0","177830210_2","N","177830210","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","9.8","0.0","177830169_1","N","177830169","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","21.0","0.0","151728530_1","N","151728530","2024-12-01"
"10/02/2024","1","QCPSE1","RIONOG_ST1","LZ_CPS","27.4","0.0","159960090_1","N","159960090","2024-12-01"
